timestamp,frame_number,overall_score,arm_score,arm_angle,hand_position_score,depth_score,depth_cm,rate_score,rate_cpm,recoil_score,compression_ratio,ratio_score,compression_count,fatigue_level,feedback_given
2025-11-18T19:59:51.832690,520,20,0,51,0,0,0,0,0,100,50,100,0,0,
2025-11-18T19:59:52.452490,530,35,0,47,0,50,139.5,0,0,100,50,100,0,0,
2025-11-18T19:59:52.994978,540,31,0,96,23,50,155.2,0,0,40,50,100,2,0,
2025-11-18T19:59:53.549657,550,36,0,85,60,50,160.0,0,0,46,50,100,3,0,
2025-11-18T19:59:54.110904,560,35,0,108,60,50,167.8,0,0,55,42,85,4,0,
2025-11-18T19:59:54.678296,570,29,0,40,0,50,1128.4,0,0,52,40,85,6,0,
2025-11-18T19:59:55.251939,580,27,0,29,0,50,1068.4,0,0,46,38,70,7,0,
2025-11-18T19:59:55.819494,590,36,0,32,100,50,1829.9,0,0,40,39,70,7,0,
2025-11-18T19:59:56.383726,600,28,16,138,0,50,60.3,0,0,40,34,68,7,0,Increase compression speed
2025-11-18T19:59:56.947469,610,44,16,138,100,50,214.2,23.319235515442152,77,55,20,50,7,0,
2025-11-18T19:59:57.567466,620,41,0,120,100,50,255.1,19.41903286065464,69,64,14,50,7,0,
2025-11-18T19:59:58.141991,630,42,2,129,100,50,272.7,16.45690027027531,63,79,11,50,7,0,
2025-11-18T19:59:58.712091,640,31,0,35,0,50,1313.6,13.98190543944363,58,73,8,50,7,0,
2025-11-18T19:59:59.276334,650,36,0,118,80,50,353.4,11.888110415141089,54,49,7,50,7,0,
2025-11-18T19:59:59.841304,660,39,3,130,60,50,376.8,10.077313264585314,50,97,5,50,7,0,
2025-11-18T20:00:00.404594,670,43,48,151,60,50,709.0,9.169786411420052,48,76,5,50,7,0,
2025-11-18T20:00:00.978109,680,36,13,136,60,50,319.0,9.46637983239103,49,61,4,50,7,0,
2025-11-18T20:00:01.537812,690,31,0,128,0,50,151.3,9.400330555443901,49,91,4,50,7,0,
2025-11-18T20:00:02.103609,700,37,0,118,60,50,421.8,9.385956242183717,49,88,4,50,7,0,Lock your elbows straight
2025-11-18T20:00:02.674136,710,29,0,127,25,50,1341.8,9.37237506265317,49,43,3,50,7,0,
2025-11-18T20:00:03.260601,720,29,9,133,0,50,61.9,9.307352884237812,49,58,3,50,7,0,
2025-11-18T20:00:03.862698,730,28,0,33,0,50,123.2,9.235904130247274,48,52,3,50,7,0,
2025-11-18T20:00:04.423507,740,30,20,141,0,50,136.6,12.713360075418837,55,40,3,50,8,0,
2025-11-18T20:00:04.986278,750,28,0,41,0,50,184.1,16.182828664458196,62,40,4,50,9,0,
2025-11-18T20:00:05.549616,760,28,0,39,0,50,206.9,15.792581080600463,62,40,4,50,9,0,
2025-11-18T20:00:06.117025,770,32,0,123,24,50,1266.4,15.813848329568202,62,55,5,50,9,0,
2025-11-18T20:00:06.692598,780,37,0,62,60,50,421.4,22.32311473578853,75,52,6,50,11,0,
2025-11-18T20:00:07.259861,790,32,0,121,0,50,65.2,22.125331815690146,74,67,12,50,11,0,
2025-11-18T20:00:07.850415,800,43,14,137,0,50,59.0,50,81,85,16,50,12,0,Lock your elbows straight
2025-11-18T20:00:08.417598,810,39,0,107,0,50,48.9,50,81,46,33,66,12,0,
2025-11-18T20:00:08.985122,820,38,0,125,0,50,48.9,50,81,40,33,66,12,0,
2025-11-18T20:00:09.580814,830,38,1,128,0,50,53.0,50,82,52,25,51,12,0,
2025-11-18T20:00:10.154069,840,40,10,134,0,50,56.9,50,81,64,20,50,12,0,
2025-11-18T20:00:10.755629,850,37,1,128,0,50,87.5,50,80,40,18,50,12,0,
2025-11-18T20:00:11.326545,860,36,0,107,0,50,141.0,50,80,40,18,50,12,0,
2025-11-18T20:00:11.901651,870,36,0,110,0,50,58.5,50,87,40,15,50,13,0,
2025-11-18T20:00:12.480099,880,48,20,141,0,50,49.9,80.86811615234149,94,49,15,50,14,0,
2025-11-18T20:00:13.049948,890,49,30,147,0,50,55.9,81.12800524463583,94,40,15,50,14,0,
